CUST_ID,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10001,40.900749,95.4,95.4,0.0,0.166667,0.0,0,1000.0,201.802084,139.50978700000002,0.0,12
C10005,817.714335,16.0,0.0,0.0,0.083333,0.0,0,1200.0,678.334763,244.79123700000002,0.0,12
C10008,1823.6527429999999,436.2,436.2,0.0,1.0,0.0,0,2300.0,679.0650820000001,532.03399,0.0,12
C10009,1014.9264730000001,861.49,200.0,0.0,0.333333,0.0,0,7000.0,688.278568,311.963409,0.0,12
C10015,2772.772734,0.0,0.0,346.81139,0.0,0.083333,1,3000.0,805.647974,989.962866,0.0,12
C10019,1989.0722280000002,504.35,338.35,0.0,0.666667,0.0,0,13000.0,1720.837373,744.613395,0.0,12
C10026,169.781679,399.6,399.6,0.0,1.0,0.0,0,3000.0,215.306142,163.005536,0.0,12
C10027,1615.96724,102.0,0.0,244.840485,0.166667,0.25,5,1700.0,890.1788449999999,971.183209,0.0,12
C10028,125.69481699999999,233.28,233.28,0.0,1.0,0.0,0,1000.0,207.77371499999998,164.748819,0.0,12
C10030,22.063489999999998,100.0,100.0,0.0,0.416667,0.0,0,6900.0,160.767773,159.684442,0.0,12
C10036,1656.350781,0.0,0.0,99.26436700000001,0.0,0.083333,1,1800.0,351.500199,634.5693110000001,0.0,12
C10044,4104.710798,203.82,0.0,0.0,0.083333,0.0,0,4500.0,868.275275,1801.264841,0.0,12
C10045,1360.742377,0.0,0.0,1481.5870929999999,0.0,0.083333,1,1500.0,378.294227,321.35413700000004,0.0,12
C10047,2242.311686,437.0,340.0,184.64869199999998,0.333333,0.166667,2,2400.0,0.0,,0.0,12
C10049,3910.1112369999996,0.0,0.0,1980.873201,0.0,0.5,7,4200.0,0.0,,0.0,12
C10051,863.809833,507.5,0.0,695.097159,0.166667,0.083333,2,4000.0,587.866451,286.448719,0.083333,12
C10054,1565.6810990000001,0.0,0.0,321.35913500000004,0.0,0.25,3,3500.0,691.825279,581.481917,0.0,12
C10057,1311.995984,1283.9,0.0,0.0,0.25,0.0,0,6000.0,0.0,,0.0,12
C10058,3625.218146,313.27,0.0,668.468743,0.25,0.416667,5,4000.0,0.0,,0.0,12
C10062,1879.1140329999998,113.0,0.0,0.0,0.166667,0.0,0,6500.0,3509.686561,548.1058360000001,0.0,12
C10063,1555.793701,66.2,0.0,0.0,0.083333,0.0,0,1600.0,338.083661,837.215674,0.0,12
C10068,1758.059987,412.33,87.12,0.0,0.583333,0.0,0,1800.0,777.4516480000001,897.905444,0.0,12
C10070,1576.3050289999999,0.0,0.0,382.908547,0.0,0.416667,6,2500.0,540.022225,352.883804,0.0,12
C10072,1699.4354859999999,1363.69,0.0,0.0,0.333333,0.0,0,1700.0,1623.816348,923.505868,0.0,12
C10081,578.809679,320.0,320.0,0.0,0.75,0.0,0,1500.0,1438.910569,190.186542,0.0,12
C10084,17.357563,244.85,204.64,0.0,0.666667,0.0,0,5000.0,357.802082,121.523416,0.181818,12
C10093,4037.3056579999998,45.0,0.0,104.23806400000001,0.083333,0.083333,1,4500.0,1073.844885,968.941265,0.0,12
C10097,1321.4760800000001,45.65,0.0,495.657934,0.083333,0.083333,1,1800.0,440.84043899999995,312.560636,0.0,12
C10098,1307.717841,405.6,0.0,0.0,0.166667,0.0,0,2400.0,0.0,,0.0,12
C10099,2329.485768,213.34,0.0,0.0,0.25,0.0,0,2400.0,0.0,,0.0,12
C10101,1619.955708,739.44,0.0,0.0,0.666667,0.0,0,6000.0,417.128532,389.138517,0.0,12
C10102,3505.671311,0.0,0.0,1713.9843050000002,0.0,0.5,6,4000.0,0.0,,0.0,12
C10109,862.0723800000001,0.0,0.0,920.3098050000001,0.0,0.083333,1,4000.0,2236.8902550000003,214.828158,0.083333,12
C10110,2441.542991,808.0,0.0,959.8572630000001,0.25,0.333333,6,4000.0,532.741699,1026.976,0.0,12
C10111,408.656365,941.64,941.64,0.0,1.0,0.0,0,2500.0,1097.7894199999998,176.610605,0.083333,12
C10113,1246.624558,423.7,246.06,412.399058,0.666667,0.083333,2,2000.0,577.050373,498.36541900000003,0.0,12
C10115,156.216753,1354.86,769.23,0.0,0.916667,0.0,0,5500.0,858.976682,108.319927,0.0,12
C10116,3393.351236,0.0,0.0,1008.3486720000001,0.0,0.083333,2,4200.0,0.0,,0.0,12
C10120,680.195157,1045.57,377.62,0.0,1.0,0.0,0,3000.0,552.4323049999999,207.720441,0.0,12
C10124,2662.629852,0.0,0.0,509.023801,0.0,0.333333,4,3000.0,932.4188550000001,709.2070160000001,0.0,12
C10126,1464.324632,1174.39,0.0,0.0,0.25,0.0,0,9000.0,0.0,,0.0,12
C10128,2876.396444,0.0,0.0,998.84867,0.0,0.166667,2,3200.0,1065.426905,1412.648089,0.0,12
C10133,4245.855092,1957.3,880.0,0.0,0.833333,0.0,0,5000.0,1004.35474,1086.428906,0.0,12
C10140,231.10899500000002,440.0,440.0,0.0,0.916667,0.0,0,4000.0,554.116542,185.091037,0.0,12
C10141,1562.633343,1330.62,160.99,0.0,0.5,0.0,0,2000.0,1020.7836470000001,709.610053,0.0,12
C10143,706.132889,897.86,183.34,586.268966,0.916667,0.25,3,1200.0,972.358048,184.524376,0.0,12
C10146,947.13081,197.06,48.4,0.0,0.333333,0.0,0,1000.0,492.20041900000007,509.384182,0.0,12
C10147,764.042156,0.0,0.0,1307.102516,0.0,0.166667,3,7500.0,1566.8068970000002,172.959728,0.0,12
C10151,3057.400553,1025.0,0.0,0.0,0.083333,0.0,0,7500.0,698.854095,819.682666,0.0,12
C10152,19.354559,689.7,689.7,0.0,0.833333,0.0,0,10000.0,746.691026,,0.0,12
C10153,264.811595,28.65,0.0,384.26178,0.083333,0.083333,1,9000.0,1235.630069,194.324456,0.083333,12
C10154,1108.22253,944.96,780.0,0.0,0.5,0.0,0,1500.0,1955.198953,992.652486,0.0,12
C10155,906.573724,1039.2,959.2,103.102091,0.833333,0.083333,1,13500.0,1855.2354070000001,468.19673200000005,0.083333,12
C10165,1046.37041,295.0,0.0,93.579809,0.083333,0.083333,1,1200.0,439.407082,362.838185,0.0,12
C10166,2737.367678,0.0,0.0,429.69116399999996,0.0,0.416667,5,3000.0,778.827993,721.798576,0.0,12
C10167,4014.8181670000004,0.0,0.0,988.356213,0.0,0.083333,1,8500.0,1009.185035,1177.149934,0.0,12
C10168,871.5689769999999,648.22,533.22,0.0,1.0,0.0,0,1200.0,1110.886425,208.298424,0.0,12
C10169,1610.040203,557.19,31.55,0.0,0.25,0.0,0,4000.0,422.71184800000003,616.0058389999999,0.0,12
C10174,1128.124563,924.6,924.6,0.0,1.0,0.0,0,1000.0,1202.711782,1747.037345,0.0,12
C10175,349.441102,1975.4,581.9,0.0,0.666667,0.0,0,4000.0,1795.012223,167.219681,0.0,12
C10181,1608.451822,0.0,0.0,205.737165,0.0,0.166667,2,1800.0,470.56598399999996,408.799147,0.0,12
C10190,117.44268400000001,653.73,160.73,0.0,0.666667,0.0,0,10000.0,441.588141,136.827952,0.0,12
C10192,1706.014379,147.78,147.78,1657.090283,0.166667,0.25,4,6000.0,1186.0627650000001,374.595505,0.0,12
C10193,874.583247,516.54,357.47,0.0,1.0,0.0,0,900.0,579.749308,693.894717,0.0,12
C10194,861.001207,969.56,0.0,446.23319699999996,0.416667,0.083333,1,2400.0,0.0,,0.0,12
C10196,966.251742,311.45,0.0,955.959749,0.333333,0.083333,1,1500.0,277.522439,286.299328,0.0,12
C10197,38.615644,280.4,0.0,0.0,0.25,0.0,0,6150.0,254.39298399999998,55.79974,0.090909,12
C10198,189.687964,66.14,0.0,0.0,0.083333,0.0,0,6000.0,0.0,,0.0,12
C10201,3983.9237049999997,756.54,0.0,0.0,0.5,0.0,0,4000.0,1110.870941,1431.2011710000002,0.0,12
C10205,1973.8149640000001,873.0,0.0,0.0,0.166667,0.0,0,8000.0,541.722532,762.682834,0.0,12
C10208,566.546048,405.75,92.0,1044.6516179999999,0.5,0.333333,6,2000.0,1249.835142,313.052687,0.0,12
C10214,1570.682346,645.32,0.0,1665.331678,0.166667,0.416667,9,1800.0,2591.391006,808.217224,0.0,12
C10219,3670.50596,965.5,89.37,0.0,0.5,0.0,0,7500.0,1034.932404,941.496383,0.0,12
C10221,768.004936,336.41,0.0,0.0,0.75,0.0,0,6000.0,947.696134,217.027653,0.0,12
C10222,75.647479,540.0,540.0,0.0,0.25,0.0,0,4000.0,548.967281,48.659935,0.0,12
C10224,1121.730896,878.52,775.42,197.648111,1.0,0.083333,1,1500.0,542.836917,471.49677599999995,0.0,12
C10234,28.461629,100.0,0.0,0.0,0.083333,0.0,0,4000.0,125.76916899999999,104.857518,0.0,12
C10236,3019.019487,2260.41,904.08,0.0,0.833333,0.0,0,8500.0,2187.930651,739.2248940000001,0.0,12
C10239,1070.999446,990.7,508.7,0.0,0.75,0.0,0,1400.0,505.31732800000003,438.32401699999997,0.0,12
C10242,2229.8572870000003,45.65,0.0,0.0,0.083333,0.0,0,2500.0,542.7463,628.2110309999999,0.0,12
C10246,3421.571922,126.69,83.81,154.341344,0.333333,0.083333,1,10500.0,2515.4357379999997,975.5040119999999,0.0,12
C10248,1874.716289,301.1,218.1,0.0,0.583333,0.0,0,1950.0,586.974046,1089.040271,0.0,12
C10255,435.862142,1646.16,622.74,0.0,1.0,0.0,0,12000.0,1055.835407,236.61936200000002,0.0,12
C10256,6.390383,79.66,79.66,0.0,1.0,0.0,0,1500.0,75.896288,75.967742,0.0,12
C10260,996.4822199999999,675.96,675.96,0.0,1.0,0.0,0,1000.0,1851.6024109999998,1382.292833,0.083333,12
